customer_id,age,gender,location,signup_date
CUST00001,56,Female,Ghana,2020-11-29
CUST00002,69,Male,India,2022-11-09
CUST00003,46,Female,,2020-07-23
CUST00004,32,Male,India,2022-08-13
CUST00005,60,Female,Brazil,2020-12-20
CUST00006,25,Other,US,2023-04-11
CUST00007,38,Male,US,2023-04-27
CUST00008,56,Male,Ghana,2022-04-03
CUST00009,36,Male,India,2022-10-22
CUST00010,40,Male,Germany,2022-07-29
CUST00011,28,Female,,2020-06-16
CUST00012,28,Female,UK,2021-01-02
CUST00013,41,Male,US,2021-06-19
CUST00014,53,Male,Germany,2022-08-20
CUST00015,57,Male,India,2021-08-02
CUST00016,41,Female,US,2023-10-25
CUST00017,20,Male,Ghana,2022-08-07
CUST00018,39,Female,Germany,2023-12-31
CUST00019,19,Female,Germany,2020-07-25
CUST00020,41,Female,Ghana,2022-12-08
CUST00021,61,Male,UK,2021-06-27
CUST00022,47,Female,,2020-05-08
CUST00023,55,Male,India,2024-01-10
CUST00024,19,Male,Ghana,2021-09-05
CUST00025,38,Female,UK,2020-02-04
CUST00026,50,Female,Germany,2022-03-29
CUST00027,29,Male,US,2020-07-17
CUST00028,39,Male,US,2020-03-17
CUST00029,61,Male,India,2021-01-03
CUST00030,42,Male,UK,2022-04-12
CUST00031,66,Male,India,2021-06-09
CUST00032,44,Male,US,2020-12-14
CUST00033,59,Male,India,2021-05-20
CUST00034,45,Female,UK,2021-10-04
CUST00035,33,Female,US,2020-08-25
CUST00036,32,Female,US,2023-07-27
CUST00037,64,Male,Brazil,2023-12-26
CUST00038,68,Female,Brazil,2020-05-17
CUST00039,61,Female,US,2023-07-16
CUST00040,69,Female,Germany,2023-05-09
CUST00041,20,Female,India,2023-03-11
CUST00042,54,Female,,2021-09-03
CUST00043,68,Female,UK,2021-11-10
CUST00044,24,Male,India,2022-04-18
CUST00045,38,Female,US,2022-07-26
CUST00046,26,Female,UK,2020-12-20
CUST00047,56,Female,,2021-07-31
CUST00048,35,Female,India,2022-04-26
CUST00049,21,Male,UK,2023-09-14
CUST00050,42,Male,US,2021-07-12
CUST00051,31,Female,Germany,2022-04-28
CUST00052,67,Female,India,2023-06-08
CUST00053,26,Female,UK,2023-08-24
CUST00054,43,Male,,2023-03-15
CUST00055,19,Male,US,2023-03-21
CUST00056,37,Female,UK,2020-05-19
CUST00057,45,Female,Brazil,2021-10-24
CUST00058,64,Female,UK,2020-01-21
CUST00059,24,Male,UK,2023-07-01
