session_id,customer_id,session_date,product_viewed,browsing_time_sec,purchase_made,purchase_amount
SESS000001,CUST04899,2021-06-16,Laptop,743,0,0.0
SESS000002,CUST00246,2022-09-23,Laptop,247,0,0.0
SESS000003,CUST04945,2023-03-08,Laptop,201,0,0.0
SESS000004,CUST03372,2021-08-24,Phone,93,0,0.0
SESS000005,CUST01351,2023-07-11,Book,330,0,0.0
SESS000006,CUST00530,2022-02-02,Book,106,1,1727.02
SESS000007,CUST04943,2021-11-16,Book,52,1,1886.66
SESS000008,CUST03815,2023-03-26,Book,326,0,0.0
SESS000009,CUST01789,2022-06-16,Shoes,232,1,799.53
SESS000010,CUST01703,2021-01-07,Bag,118,0,0.0
SESS000011,CUST03626,2022-12-23,Headphones,216,0,0.0
SESS000012,CUST03321,2022-04-03,Phone,64,1,1029.77
SESS000013,CUST00760,2021-08-26,Shoes,248,1,1764.22
SESS000014,CUST01404,2023-05-12,Shoes,342,0,0.0
SESS000015,CUST00798,2022-03-27,Book,191,1,1505.3
SESS000016,CUST00532,2023-06-15,Phone,51,1,1434.35
SESS000017,CUST01918,2021-04-24,Camera,405,0,0.0
SESS000018,CUST04960,2022-05-07,Shoes,865,1,1907.53
SESS000019,CUST04138,2021-11-05,Shoes,189,0,0.0
SESS000020,CUST03417,2022-03-25,Phone,1140,0,0.0
SESS000021,CUST00599,2021-06-07,Laptop,18,0,0.0
SESS000022,CUST00306,2023-04-14,Phone,1321,0,0.0
SESS000023,CUST04905,2022-02-03,,310,0,0.0
SESS000024,CUST02910,2022-10-01,Phone,912,0,0.0
SESS000025,CUST00679,2021-07-22,Laptop,60,0,0.0
SESS000026,CUST03385,2023-01-06,Shoes,194,0,0.0
SESS000027,CUST00731,2022-08-05,Laptop,1135,1,1178.12
SESS000028,CUST02026,2022-03-30,Bag,148,0,0.0
SESS000029,CUST04999,2023-05-10,Laptop,344,0,0.0
SESS000030,CUST04229,2021-04-30,Bag,63,0,0.0
SESS000031,CUST02767,2023-08-11,Headphones,582,0,0.0
SESS000032,CUST02099,2022-10-27,Laptop,91,0,0.0
SESS000033,CUST00392,2022-06-19,Laptop,50,0,0.0
SESS000034,CUST02744,2022-10-14,Book,240,0,0.0
SESS000035,CUST03785,2023-08-02,Shoes,85,1,1621.47
SESS000036,CUST03838,2022-09-16,Laptop,435,0,0.0
SESS000037,CUST04604,2022-10-12,Book,547,1,1716.25
SESS000038,CUST01686,2023-07-02,Headphones,219,1,506.45
SESS000039,CUST02915,2021-06-29,Phone,6,0,0.0
SESS000040,CUST01419,2022-09-23,Phone,148,1,715.31
SESS000041,CUST04192,2022-10-04,Bag,8,0,0.0
SESS000042,CUST04202,2022-12-01,Laptop,688,0,0.0
SESS000043,CUST04091,2023-08-11,Shoes,95,0,0.0
SESS000044,CUST03727,2022-05-27,Phone,1097,0,0.0
SESS000045,CUST04774,2022-05-08,Camera,105,0,0.0
SESS000046,CUST03630,2022-08-16,Phone,171,0,0.0
SESS000047,CUST03314,2022-12-14,Shoes,2,0,0.0
SESS000048,CUST04952,2023-08-01,Phone,963,1,1017.85
SESS000049,CUST04886,2021-11-23,Laptop,206,1,1952.26
SESS000050,CUST04611,2022-02-01,Phone,40,1,459.08
SESS000051,CUST01085,2022-08-09,Book,522,0,0.0
SESS000052,CUST01008,2022-05-27,Shoes,98,0,0.0
SESS000053,CUST01318,2023-03-01,Phone,2,1,1701.69
SESS000054,CUST02350,2022-09-30,Laptop,336,0,0.0
SESS000055,CUST02694,2022-10-30,Shoes,89,0,0.0
SESS000056,CUST02279,2021-07-02,Shoes,948,0,0.0
SESS000057,CUST03723,2023-08-04,Phone,57,1,1284.13
SESS000058,CUST03694,2021-04-16,Shoes,98,0,0.0
SESS000059,CUST04393,2023-06-11,Phone,252,0,0.0
SESS000060,CUST04551,2022-05-13,Headphones,828,0,0.0
SESS000061,CUST04336,2021-11-30,Shoes,125,1,105.72
SESS000062,CUST03248,2022-10-21,Shoes,190,0,0.0
SESS000063,CUST03135,2022-01-09,,30,0,0.0
SESS000064,CUST02599,2021-01-01,Book,30,0,0.0
SESS000065,CUST02186,2022-04-20,Headphones,541,1,741.24
SESS000066,CUST04053,2022-03-28,Shoes,88,0,0.0
SESS000067,CUST04550,2021-07-03,Shoes,354,1,139.96
SESS000068,CUST03825,2021-03-29,Camera,49,0,0.0
SESS000069,CUST03521,2023-06-29,Camera,109,1,769.05
SESS000070,CUST01250,2022-12-05,Phone,293,0,0.0
SESS000071,CUST02075,2022-04-30,Phone,19,0,0.0
SESS000072,CUST02505,2022-08-22,Shoes,120,0,0.0
SESS000073,CUST04791,2022-08-04,Shoes,112,0,0.0
SESS000074,CUST04806,2021-12-06,Shoes,34,0,0.0
SESS000075,CUST02015,2023-07-07,Laptop,135,1,1471.84
SESS000076,CUST04945,2022-09-14,Laptop,328,0,0.0
SESS000077,CUST00949,2023-06-15,Shoes,482,0,0.0
SESS000078,CUST00107,2023-05-22,Camera,115,1,955.57
SESS000079,CUST02492,2021-06-21,Headphones,285,0,0.0
SESS000080,CUST04693,2022-01-13,Shoes,24,0,0.0
SESS000081,CUST00155,2021-06-26,Laptop,314,0,0.0
SESS000082,CUST03241,2022-09-03,Laptop,210,0,0.0
SESS000083,CUST00796,2021-02-05,Bag,261,0,0.0
SESS000084,CUST04368,2022-03-29,Phone,349,0,0.0
SESS000085,CUST01571,2021-08-13,Bag,478,0,0.0
SESS000086,CUST01635,2023-05-06,Shoes,8,0,0.0
SESS000087,CUST01939,2023-07-19,Phone,20,0,0.0
SESS000088,CUST01533,2021-10-20,Shoes,401,1,893.65
SESS000089,CUST03029,2022-04-18,Book,280,0,0.0
SESS000090,CUST04218,2021-09-10,Phone,123,0,0.0
SESS000091,CUST01441,2021-02-20,Camera,407,1,552.69
SESS000092,CUST01399,2021-10-20,Phone,234,0,0.0
SESS000093,CUST03647,2021-06-02,Shoes,233,1,246.65
SESS000094,CUST03398,2023-05-04,Unknown,321,0,0.0
SESS000095,CUST04246,2023-01-19,Book,550,0,0.0
SESS000096,CUST04803,2021-09-18,Phone,93,0,0.0
SESS000097,CUST03043,2022-10-10,Laptop,1499,0,0.0
SESS000098,CUST01616,2023-02-05,Bag,137,0,0.0
SESS000099,CUST01514,2023-04-01,Phone,250,0,0.0
SESS000100,CUST02599,2021-04-15,Shoes,553,0,0.0
SESS000101,CUST00845,2022-01-02,Laptop,191,0,0.0
SESS000102,CUST03420,2021-10-10,Shoes,54,0,0.0
SESS000103,CUST03531,2021-11-13,Bag,2473,1,1307.25
SESS000104,CUST02328,2022-04-28,Laptop,524,0,0.0
SESS000105,CUST03041,2023-04-13,Shoes,43,0,0.0
SESS000106,CUST01977,2021-03-25,Shoes,303,0,0.0
SESS000107,CUST01836,2022-12-12,Phone,106,0,0.0
SESS000108,CUST04900,2021-02-14,,259,0,0.0
SESS000109,CUST00355,2022-01-22,Camera,43,0,0.0
SESS000110,CUST01606,2021-07-08,Shoes,420,0,0.0
SESS000111,CUST04474,2022-05-05,Phone,414,0,0.0
SESS000112,CUST03196,2021-02-19,Shoes,73,1,63.51
SESS000113,CUST02128,2023-03-27,Book,146,0,0.0
SESS000114,CUST00988,2021-07-20,Phone,216,0,0.0
SESS000115,CUST04329,2021-06-24,Phone,341,0,0.0
SESS000116,CUST00154,2021-05-22,Book,130,1,1831.61
SESS000117,CUST00907,2021-10-02,Bag,13,1,398.94
SESS000118,CUST03764,2023-09-14,Shoes,95,0,0.0
SESS000119,CUST01621,2021-07-09,Shoes,230,0,0.0
SESS000120,CUST03629,2021-05-14,Bag,154,0,0.0
SESS000121,CUST03575,2023-06-22,Phone,1242,0,0.0
SESS000122,CUST04419,2022-09-05,Shoes,140,0,0.0
SESS000123,CUST00332,2023-05-08,Shoes,529,0,0.0
SESS000124,CUST04339,2023-02-20,,5,0,0.0
SESS000125,CUST00430,2023-05-19,Phone,178,1,1408.21
SESS000126,CUST02424,2023-03-25,Phone,169,0,0.0
SESS000127,CUST00081,2022-06-29,Book,732,1,1889.43
SESS000128,CUST01574,2022-09-20,Phone,96,0,0.0
SESS000129,CUST00420,2021-04-07,Laptop,182,1,547.62
SESS000130,CUST00467,2021-02-10,Camera,317,1,335.04
SESS000131,CUST03394,2021-11-25,Laptop,396,0,0.0
SESS000132,CUST01566,2022-12-20,Camera,1107,1,1147.07
SESS000133,CUST01519,2023-08-23,Book,1203,1,1896.2
SESS000134,CUST04031,2022-05-16,Bag,244,0,0.0
SESS000135,CUST02036,2022-06-25,Book,342,0,0.0
SESS000136,CUST00804,2022-01-08,Phone,30,1,725.83
SESS000137,CUST01078,2022-05-26,Phone,585,0,0.0
SESS000138,CUST01633,2023-02-14,Shoes,125,0,0.0
SESS000139,CUST01985,2021-04-05,,244,1,1966.67
SESS000140,CUST00004,2022-11-25,Laptop,687,0,0.0
SESS000141,CUST00603,2022-04-27,Laptop,42,1,580.45
SESS000142,CUST02368,2021-01-11,Headphones,585,0,0.0
SESS000143,CUST03676,2022-07-08,Phone,51,0,0.0
SESS000144,CUST00501,2022-04-12,Bag,111,0,0.0
SESS000145,CUST00185,2023-02-12,Headphones,328,0,0.0
SESS000146,CUST03510,2022-04-16,Book,399,0,0.0
SESS000147,CUST03252,2022-03-07,Bag,415,0,0.0
SESS000148,CUST03148,2022-05-29,Laptop,734,0,0.0
SESS000149,CUST02941,2021-02-12,Headphones,103,0,0.0
SESS000150,CUST01296,2021-01-04,Shoes,439,0,0.0
SESS000151,CUST00055,2021-12-03,Headphones,1470,0,0.0
SESS000152,CUST01725,2022-01-10,Laptop,22,1,563.78
SESS000153,CUST02911,2021-04-05,Laptop,66,0,0.0
SESS000154,CUST01871,2022-03-23,Camera,737,0,0.0
SESS000155,CUST04173,2022-07-25,Bag,89,0,0.0
SESS000156,CUST02344,2021-01-30,Phone,876,1,166.29
SESS000157,CUST03291,2023-06-17,Headphones,222,1,416.16
SESS000158,CUST03349,2021-03-29,Headphones,233,1,1733.31
SESS000159,CUST01602,2023-04-22,Camera,33,1,857.55
SESS000160,CUST02794,2021-08-08,Book,61,1,989.83
SESS000161,CUST03338,2021-05-08,Book,621,0,0.0
SESS000162,CUST02091,2021-06-20,Book,384,0,0.0
SESS000163,CUST01252,2023-05-14,Phone,41,0,0.0
SESS000164,CUST00171,2021-08-13,Shoes,45,0,0.0
SESS000165,CUST02810,2021-10-01,Laptop,737,0,0.0
SESS000166,CUST02355,2022-02-12,Laptop,459,0,0.0
SESS000167,CUST01774,2022-11-08,Book,38,1,1277.72
SESS000168,CUST03755,2021-06-07,Laptop,252,0,0.0
SESS000169,CUST03992,2022-12-10,Shoes,1226,0,0.0
SESS000170,CUST02082,2023-04-07,Camera,225,0,0.0
SESS000171,CUST00827,2022-02-11,Phone,29,0,0.0
SESS000172,CUST01666,2021-01-30,Shoes,195,0,0.0
SESS000173,CUST00130,2021-07-15,Bag,104,1,382.51
SESS000174,CUST01418,2021-06-18,Bag,218,0,0.0
SESS000175,CUST03788,2023-03-30,Shoes,407,0,0.0
SESS000176,CUST01408,2021-12-10,Book,206,0,0.0
SESS000177,CUST00594,2022-08-02,Shoes,42,0,0.0
SESS000178,CUST01038,2022-02-03,Shoes,431,1,1486.29
SESS000179,CUST02129,2021-07-03,Laptop,84,0,0.0
SESS000180,CUST03279,2023-01-20,Book,4,0,0.0
SESS000181,CUST04300,2022-05-27,,47,0,0.0
SESS000182,CUST00023,2023-08-19,Headphones,315,0,0.0
SESS000183,CUST01634,2021-07-21,Camera,859,1,1675.75
SESS000184,CUST04002,2022-09-13,Shoes,428,1,567.34
SESS000185,CUST04200,2021-08-06,Bag,117,1,1057.75
SESS000186,CUST01406,2023-08-09,Book,161,0,0.0
